,accuracy
0,0.9025999903678894
1,0.9351999759674072
2,0.9430999755859375
3,0.9419000148773193
4,0.9502000212669373
5,0.9498000144958496
6,0.9526000022888184
7,0.9498999714851379
8,0.9519000053405762
9,0.9553999900817871
10,0.9564999938011169
11,0.9552000164985657
12,0.9577000141143799
13,0.9552000164985657
14,0.9560999870300293
15,0.9574999809265137
16,0.9595000147819519
17,0.9587000012397766
18,0.9603000283241272
19,0.9545999765396118
