,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
0,0.6050000190734863,0.8100000023841858,0.5220000147819519,0.38499999046325684,0.4099999964237213,0.6140000224113464,0.7820000052452087,0.7409999966621399,0.8539999723434448,0.7680000066757202
1,0.7310000061988831,0.8650000095367432,0.5479999780654907,0.5120000243186951,0.703000009059906,0.6359999775886536,0.8460000157356262,0.7590000033378601,0.8450000286102295,0.828000009059906
2,0.7900000214576721,0.8889999985694885,0.7120000123977661,0.5220000147819519,0.7139999866485596,0.6439999938011169,0.8100000023841858,0.7400000095367432,0.8090000152587891,0.8289999961853027
3,0.8009999990463257,0.9010000228881836,0.7149999737739563,0.5440000295639038,0.7379999756813049,0.6570000052452087,0.8220000267028809,0.75,0.8799999952316284,0.8100000023841858
4,0.7760000228881836,0.9020000100135803,0.6570000052452087,0.4790000021457672,0.8240000009536743,0.7070000171661377,0.8610000014305115,0.8539999723434448,0.8600000143051147,0.8500000238418579
5,0.843999981880188,0.8709999918937683,0.5920000076293945,0.5820000171661377,0.7720000147819519,0.6679999828338623,0.8069999814033508,0.8339999914169312,0.8960000276565552,0.8920000195503235
6,0.7979999780654907,0.8640000224113464,0.6830000281333923,0.6959999799728394,0.6790000200271606,0.609000027179718,0.8629999756813049,0.8510000109672546,0.8840000033378601,0.9049999713897705
7,0.8230000138282776,0.8989999890327454,0.6990000009536743,0.6290000081062317,0.75,0.7160000205039978,0.8730000257492065,0.7120000123977661,0.8740000128746033,0.8889999985694885
8,0.8460000157356262,0.8870000243186951,0.6240000128746033,0.5090000033378601,0.8059999942779541,0.7699999809265137,0.8889999985694885,0.8209999799728394,0.8980000019073486,0.8650000095367432
9,0.8299999833106995,0.8840000033378601,0.7549999952316284,0.6269999742507935,0.7760000228881836,0.6420000195503235,0.824999988079071,0.8149999976158142,0.9129999876022339,0.8700000047683716
10,0.8339999914169312,0.8849999904632568,0.7260000109672546,0.6209999918937683,0.7639999985694885,0.7200000286102295,0.8640000224113464,0.8069999814033508,0.8539999723434448,0.9079999923706055
11,0.8299999833106995,0.8880000114440918,0.7250000238418579,0.5370000004768372,0.8650000095367432,0.6959999799728394,0.871999979019165,0.8349999785423279,0.9039999842643738,0.8600000143051147
12,0.8539999723434448,0.9070000052452087,0.7360000014305115,0.5450000166893005,0.7689999938011169,0.6940000057220459,0.8920000195503235,0.8709999918937683,0.8849999904632568,0.8809999823570251
13,0.8159999847412109,0.8539999723434448,0.7229999899864197,0.6660000085830688,0.7390000224113464,0.7580000162124634,0.7820000052452087,0.8299999833106995,0.9300000071525574,0.8730000257492065
14,0.8069999814033508,0.9229999780654907,0.6959999799728394,0.6389999985694885,0.7870000004768372,0.7160000205039978,0.8309999704360962,0.8730000257492065,0.8700000047683716,0.8690000176429749
15,0.8199999928474426,0.8759999871253967,0.6320000290870667,0.5960000157356262,0.8519999980926514,0.7760000228881836,0.8569999933242798,0.8339999914169312,0.8730000257492065,0.8970000147819519
16,0.7720000147819519,0.8889999985694885,0.7210000157356262,0.7409999966621399,0.781000018119812,0.7070000171661377,0.8309999704360962,0.8539999723434448,0.8679999709129333,0.8840000033378601
17,0.8550000190734863,0.9359999895095825,0.6809999942779541,0.6600000262260437,0.7789999842643738,0.7639999985694885,0.8130000233650208,0.8510000109672546,0.8529999852180481,0.8679999709129333
18,0.8529999852180481,0.8999999761581421,0.6990000009536743,0.6510000228881836,0.7710000276565552,0.7200000286102295,0.8820000290870667,0.8569999933242798,0.8859999775886536,0.890999972820282
19,0.8569999933242798,0.9179999828338623,0.6919999718666077,0.7080000042915344,0.7950000166893005,0.6669999957084656,0.8379999995231628,0.8180000185966492,0.8849999904632568,0.9129999876022339
