,accuracy
0,0.6491000056266785
1,0.7272999882698059
2,0.7458999752998352
3,0.7617999911308289
4,0.7770000100135803
5,0.7757999897003174
6,0.7832000255584717
7,0.7864000201225281
8,0.7914999723434448
9,0.7936999797821045
10,0.79830002784729
11,0.8011999726295471
12,0.8033999800682068
13,0.7971000075340271
14,0.8011000156402588
15,0.8012999892234802
16,0.8047999739646912
17,0.8059999942779541
18,0.8109999895095825
19,0.8090999722480774
