,accuracy
0,0.3463999927043915
1,0.4018999934196472
2,0.4449000060558319
3,0.4625999927520752
4,0.44449999928474426
5,0.4957999885082245
6,0.47940000891685486
7,0.48840001225471497
8,0.5056999921798706
9,0.510200023651123
10,0.5259000062942505
11,0.5210999846458435
12,0.52920001745224
13,0.5238999724388123
14,0.5389000177383423
15,0.5393999814987183
16,0.5436999797821045
17,0.558899998664856
18,0.5580999851226807
19,0.5550000071525574
