,0
0,0.19249999523162842
1,0.26980000734329224
2,0.3675000071525574
3,0.4447999894618988
4,0.5389999747276306
5,0.5936999917030334
6,0.6291000247001648
7,0.6420000195503235
8,0.644599974155426
9,0.6790000200271606
10,0.6550999879837036
11,0.6992999911308289
12,0.6937000155448914
13,0.7067000269889832
14,0.6922000050544739
15,0.7233999967575073
16,0.7129999995231628
17,0.7074000239372253
18,0.727400004863739
19,0.7293000221252441
